QP,Br,PSNR
15,31940.4000,71.3801
16,28840.8000,71.271
17,25808.8800,71.0876
18,23084.6400,70.9152
19,20425.9200,70.6946
20,18156.4800,70.3651
21,16018.2000,70.139
22,14079.1200,69.8277
23,12339.0000,69.4968
24,10823.2800,69.1113
25,9571.0800,68.8462
26,8362.2000,68.6155
27,7363.5600,68.1583
28,6475.4400,67.6876
29,5714.8800,67.3844
30,5082.7200,66.882
31,4431.0000,66.446
32,3833.1600,65.8997
33,3366.1200,65.4261
34,2925.8400,65.0063
35,2546.4000,64.086
